EmployeeID,Name,JobRole,Salary,HireDate,Employed
92,Alastair Muggeridge,Product Engineer,$111420.30,11/15/2023,false
93,Harriet Perry,Nurse,$142843.66,2/16/2023,false
94,Ilaire Crolly,Help Desk Operator,$140191.12,5/10/2023,false
95,Dee dee Drogan,Professor,$126342.93,9/2/2023,true
96,Ann Ram,Chief Design Engineer,$146000.35,7/4/2023,true
97,Ebenezer Ashcroft,Editor,$99239.10,2/8/2023,true
98,Keane Quarrie,Quality Engineer,$50366.32,10/14/2023,true
99,Lisha Lloyds,Design Engineer,$82805.41,7/30/2023,true
100,Elke Sket,Graphic Designer,$138896.52,12/18/2023,false
101,West Lourenco,Electrical Engineer,$61547.73,1/1/2024,true
102,Hogan Gunbie,Help Desk Technician,$98780.08,1/7/2024,false
103,Linoel Adess,Project Manager,$199610.31,5/10/2023,false
104,Agosto Moreton,Geological Engineer,$79622.80,3/10/2023,true
105,Nancie Essel,Information Systems Manager,$168689.47,1/13/2023,true
106,Seumas Drayson,Social Worker,$148785.39,6/13/2023,false
107,Blair Harker,Account Coordinator,$168169.18,3/14/2023,false
108,Roddy Regorz,VP Quality Control,$101888.60,8/27/2023,true
109,Udall Featherby,Statistician III,$79965.67,5/5/2023,true
110,Jourdain Andreaccio,VP Accounting,$125303.13,3/20/2023,true
111,Theresina Bumpas,Social Worker,$148955.73,4/19/2023,false
112,Ricki Ohrt,Food Chemist,$170341.54,2/10/2023,false
113,Deva O'Duilleain,Help Desk Technician,$138901.92,2/23/2023,true
114,Elianora Gare,Tax Accountant,$106803.40,4/13/2023,true
115,Aliza Guerreau,Financial Advisor,$113457.62,3/12/2023,true
116,Rosalinde Marti,Desktop Support Technician,$63056.39,7/28/2023,true
117,Rozele Abotson,Occupational Therapist,$159713.78,7/25/2023,true
118,Joelly Adolfsen,Chemical Engineer,$152644.55,4/7/2023,true
119,Westley Sadlier,Staff Accountant II,$119126.70,6/15/2023,true
120,Agretha Welman,Accountant II,$95736.55,11/13/2023,true
121,Joice Rowett,Quality Control Specialist,$81965.96,11/23/2023,false
122,Goldy Koles,Automation Specialist IV,$127021.02,8/10/2023,false
123,Ezekiel Tezure,Junior Executive,$143243.31,5/10/2023,false
124,Deva Daveren,Information Systems Manager,$143956.36,10/24/2023,false
125,Maddy Divver,Administrative Officer,$147335.85,7/5/2023,true
126,Oralla Jacobs,Systems Administrator III,$122232.99,6/18/2023,false
127,Lawton Iseton,Web Designer III,$96884.12,8/26/2023,true
128,Shela Sarginson,VP Quality Control,$167129.98,6/7/2023,true
129,Holt Tilte,Environmental Specialist,$71982.26,6/1/2023,false
130,Florri Budik,Cost Accountant,$61329.48,8/15/2023,false
131,Wainwright Bexon,GIS Technical Architect,$161674.14,9/12/2023,true
132,Oriana Feldheim,Account Representative IV,$143248.89,8/13/2023,true
133,Maxi Muggeridge,Help Desk Technician,$184512.29,5/14/2023,true
134,Florance Rennock,VP Quality Control,$112938.25,8/27/2023,true
135,Lamont Broadbridge,Account Coordinator,$172722.13,7/4/2023,true
136,Wilone Dollar,Executive Secretary,$72894.36,12/17/2023,false
137,Rickie Scoble,Product Engineer,$171923.46,3/4/2023,true
138,Ganny Beard,Quality Engineer,$78421.69,11/17/2023,true
139,Lillis Croome,Occupational Therapist,$118707.09,9/25/2023,false
140,Estele Dawid,Programmer Analyst IV,$120322.80,3/10/2023,false
141,Averyl Carabet,Accounting Assistant IV,$182476.43,2/19/2023,true
142,Dante Jozefowicz,VP Sales,$106627.57,7/13/2023,false
143,Rutger Waliszek,Statistician III,$99554.68,11/18/2023,false
144,Hillery Skeemor,Quality Control Specialist,$108259.10,2/7/2023,true
145,Tirrell Redholes,Accounting Assistant I,$161377.23,6/21/2023,false
146,Kaleena Momery,Senior Cost Accountant,$59919.32,4/5/2023,true
147,Helaine Roseblade,Product Engineer,$74203.47,1/24/2023,true
148,Glynn Simm,Biostatistician III,$127541.99,10/2/2023,true
149,Zahara Dwelley,Computer Systems Analyst III,$148071.07,3/30/2023,false
150,Gael Wallentin,Librarian,$192531.54,11/28/2023,true
151,Elene Hove,Nurse Practicioner,$75377.96,12/16/2023,true
152,Nicky Younglove,Internal Auditor,$176006.50,8/15/2023,true
153,Inger Dodle,Recruiter,$90516.21,6/1/2023,true
154,Bastian McIlmorie,Sales Representative,$61212.47,1/23/2023,true
155,Melissa Reye,Compensation Analyst,$96860.33,7/23/2023,true
156,Sanders Buick,Accountant IV,$65256.77,6/17/2023,false
157,Allen Pink,Registered Nurse,$54335.35,6/5/2023,false
158,Dunstan Lown,Internal Auditor,$104217.92,4/6/2023,true
159,Anatola Blakeman,Design Engineer,$180794.69,3/10/2023,false
160,Adel Stredwick,Help Desk Operator,$108150.28,6/27/2023,false
161,Silvanus Pigney,Director of Sales,$158308.44,11/16/2023,false
162,Katee Falloon,Help Desk Technician,$187641.90,9/15/2023,false
163,Shaughn Frossell,Biostatistician II,$169003.04,12/28/2023,true
164,Dona Peasee,Marketing Assistant,$149797.33,1/7/2024,false
165,Engracia Purle,Civil Engineer,$167813.31,1/18/2023,true
166,Marget Klaassens,Computer Systems Analyst II,$54525.86,4/17/2023,false
167,Phil Seally,VP Marketing,$158838.18,8/9/2023,false
168,Clyde Bewsey,Operator,$178840.95,3/30/2023,false
169,Carine Sapson,Database Administrator I,$182414.82,12/31/2023,true
170,Arturo Cookes,VP Quality Control,$179363.70,9/29/2023,false
171,Delinda de Marco,Human Resources Manager,$183880.14,10/17/2023,false
172,Barbey Elgie,Office Assistant III,$173835.76,2/5/2023,false
173,Elisabet Matuszynski,VP Sales,$175561.41,7/20/2023,true
174,Natty Scargill,Financial Analyst,$148649.67,8/31/2023,false
175,Charyl McGennis,Office Assistant I,$74766.81,12/18/2023,true
176,Randall Weitzel,Software Test Engineer IV,$78601.50,9/15/2023,false
177,Cyndia Gravell,VP Accounting,$182511.47,2/21/2023,false
178,Wernher Lyford,Office Assistant II,$97281.21,6/2/2023,false
179,Ashlin Rickman,Electrical Engineer,$79905.01,11/12/2023,true
180,Paco Empson,Chief Design Engineer,$177086.16,10/8/2023,true
181,Georgianna Stockley,Office Assistant IV,$151997.83,12/19/2023,false
182,Drud Trenfield,Chemical Engineer,$57831.71,6/8/2023,true
183,Greggory Humbie,Senior Quality Engineer,$87655.37,11/25/2023,false
184,Thekla Bruck,Senior Financial Analyst,$187706.55,2/1/2023,true
185,Earvin Gillyett,Chemical Engineer,$185856.99,5/27/2023,false
186,Hughie Tropman,Structural Engineer,$175133.60,7/3/2023,false
187,Hobey Dudhill,Research Nurse,$182422.17,8/27/2023,false
188,Zabrina Gillespie,Media Manager IV,$157500.30,5/7/2023,true
189,Quintilla Marriage,Programmer Analyst IV,$75854.27,4/1/2023,true
190,Donelle Doughartie,General Manager,$131713.45,2/11/2023,false
191,Denyse Runacres,Developer I,$199071.41,11/20/2023,false
192,Lenard Reggio,Systems Administrator III,$54083.70,4/11/2023,false
193,Dannel Macauley,Internal Auditor,$170930.30,3/3/2023,true
194,Benni Snugg,Financial Advisor,$108803.94,2/4/2023,false
195,Josefina Shaughnessy,Social Worker,$111596.42,3/5/2023,true
196,Jerrie Bedward,General Manager,$172365.45,3/29/2023,false
197,Adena Cauldfield,Accountant I,$87210.95,5/12/2023,false
198,Wilburt Reichelt,Safety Technician III,$154731.15,12/18/2023,true
199,Julio Uzelli,Account Representative IV,$142161.33,12/3/2023,false
200,Mead Duetschens,Food Chemist,$98457.36,12/6/2023,true
